ID	z_host	z_host_err	num_epochs	pIa	pII	pIbc
tr53	4.35	0.04	3	0	1	
tr50	4.117	0	4	0	1	
tr88	3.74	0.17	2	0.25	0.75	
tr10	3.61	0	3	0	1	
tr44	3.21	0.58	4	0	1	
tr71	3.09	0	3	0.24	0.76	
tr27	2.9	0	4	1	0	
tr36	2.86	0.1	4	0	1	
tr26	2.83	0	4	0	1	
tr52	2.78	0.12	3	0	1	
tr29	2.73	0	3	0	1	
tr6	2.623	0	3	0	1	
tr11	2.344	0	3	0	1	
tr19	2.24	0.13	1	0.03	0.97	
tr7	2.06	0	3	0	1	
tr28	1.94	0.12	4	0	1	
tr87	1.932	0	2	0	1	
tr60	1.912	0	1	0	1	
tr5	1.86	0.1	3	0	1	
tr83	1.748	0	1	0	1	
tr22	1.62	0	4	0	1	
tr35	1.5	0	2	0	1	
tr30	1.19	0.11	1	1	0	
tr48	1.16	0.05	3	0	1	
tr45	1.139	0	2	0	1	
tr24	1.01	0	2	0	1	
tr14	0.657	0	3	0	0	
tr90	0.533	0	1	0	0	
tr89	0.21	0	1	0	0	
tr25	0	0	1	0	0	
tr77	4.82	0.05	1	0.4	0.6	
tr33	4.82	0.49	1	0.82	0.18	
tr39	4.504	0	1	0.36	0.64	
tr93	4.47	0	1	0.44	0.56	
tr107	4.24	0.09	1	0.17	0.83	
tr102	3.96	0.14	1	0	0	
tr38	3.166	0	1	0.79	0.21	
tr55	2.79	0.11	1	0	1	
tr21	2.73	0.39	1	0	1	
tr79	2.617	0	1	0	1	
tr80	2.617	0	1	0	1	
tr95	2.56	0.39	1	0	1	
tr8	2.48	0.68	1	0	0	
tr34	2.323	0	1	0	1	
tr23	2.315	0	1	0	1	
tr66	2.29	0.23	1	0	1	
tr92	2.02	0.29	1	0	1	
tr37	2.01	0.16	1	0	1	
tr20	2	0.37	5	0	1	
tr2	1.79	0.26	1	0	1	
tr16	1.771	0	1	0	0	
tr1	1.688	0	1	1	0	
tr69	1.62	0.07	1	0	1	
tr46	1.42	0.11	1	0	1	
tr65	1.415	0	1	0	1	
tr54	1.36	0.21	1	0	1	
tr18	1.094	0	1	0	1	
tr17	0.996	0	1	0	1	
tr31	0.953	0	1	0	1	
tr61	0.669	0	1	0	0	
tr109	0.669	0	1	0	0	
tr3	0.665	0	1	0	0	
tr4	0.665	0	1	0	0	
tr101	0	0	1	0	0	
tr32	0	0	1	0	0	
tr94	2.67	0.2	1	0.07	0.93	
