ID	z_host	z_host_err	num_epochs	pIa	pII	pIbc
tr88	3.74	0.17	2	0.25	0.75	
tr10	3.61	0	3	0	1	
tr44	3.21	0.58	4	0	1	
tr71	3.09	0	3	0.24	0.76	
tr27	2.9	0	4	1	0	
tr36	2.86	0.1	4	0	1	
tr26	2.83	0	4	0	1	
tr52	2.78	0.12	3	0	1	
tr15	2.77	0.86	3	0	0	
tr29	2.73	0	3	0	1	
tr6	2.623	0	3	0	1	
tr11	2.344	0	3	0	1	
tr7	2.06	0	3	0	1	
tr28	1.94	0.12	4	0	1	
tr87	1.932	0	2	0	1	
tr5	1.86	0.1	3	0	1	
tr9	1.854	0	4	0	1	
tr22	1.62	0	4	0	1	
tr35	1.5	0	2	0	1	
tr81	1.171	0	2	0	1	
tr45	1.139	0	2	0	1	
tr24	1.01	0	2	0	1	
tr14	0.657	0	3	0	0	
tr84	1.86	0.11	4	0	1	
tr59	0.996	0	2	0	1	
