band inj_mag n_realizations n_requested_per_realization mean_valid_recovered std_valid_recovered mean_det_eff std_det_eff
F090W 26.0 20 100 96.1 1.6189665319514628 0.9610000000000001 0.016189665319514636
F090W 26.1 20 100 96.6 1.429022485182754 0.966 0.014290224851827555
F090W 26.200000000000003 20 100 96.95 2.0384462607326044 0.9695 0.02038446260732603
F090W 26.300000000000004 20 100 97.05 1.356271980175999 0.9705 0.013562719801760006
F090W 26.400000000000006 20 100 96.85 1.3088765773505315 0.9684999999999999 0.013088765773505326
F090W 26.500000000000007 20 100 96.6 2.2337129816094383 0.966 0.02233712981609438
F090W 26.60000000000001 20 100 97.15 1.785172850248165 0.9715 0.017851728502481668
F090W 26.70000000000001 20 100 96.4 1.6982963599783722 0.9640000000000001 0.016982963599783726
F090W 26.80000000000001 20 100 96.75 1.9159991209755154 0.9674999999999999 0.019159991209755155
F090W 26.900000000000013 20 100 96.2 1.3218806379747876 0.9620000000000001 0.013218806379747889
F090W 27.000000000000014 20 100 96.55 1.731290969494334 0.9654999999999999 0.017312909694943344
F090W 27.100000000000016 20 100 96.2 1.880649383926509 0.962 0.01880649383926508
F090W 27.200000000000017 20 100 96.8 1.5761378513048245 0.968 0.01576137851304826
F090W 27.30000000000002 20 100 95.95 2.1878853044122666 0.9595000000000002 0.02187885304412265
F090W 27.40000000000002 20 100 95.8 2.483630619200766 0.958 0.024836306192007652
F090W 27.50000000000002 20 100 96.2 1.880649383926509 0.962 0.018806493839265095
F090W 27.600000000000023 20 100 95.6 2.643761275949575 0.9560000000000001 0.026437612759495736
F090W 27.700000000000024 20 100 95.3 2.494203807145468 0.9530000000000001 0.024942038071454665
F090W 27.800000000000026 20 100 95.55 1.6375527311718607 0.9555 0.016375527311718593
F090W 27.900000000000027 20 100 94.65 2.1343062474478063 0.9464999999999998 0.021343062474478043
F090W 28.00000000000003 20 100 94.05 2.394621165511528 0.9405000000000001 0.02394621165511525
F090W 28.10000000000003 20 100 93.45 2.0124611797498106 0.9344999999999999 0.02012461179749808
F090W 28.20000000000003 20 100 92.85 2.739093203771527 0.9285 0.027390932037715247
F090W 28.300000000000033 20 100 92.2 2.627786741327145 0.9220000000000003 0.026277867413271424
F090W 28.400000000000034 20 100 92.3 2.0799797569865155 0.923 0.02079979756986513
F090W 28.500000000000036 20 100 90.35 4.132986686086518 0.9035 0.041329866860865185
F090W 28.600000000000037 20 100 90.25 3.781882015471578 0.9025000000000001 0.03781882015471579
F090W 28.70000000000004 20 100 88.65 2.277463963548745 0.8865000000000001 0.022774639635487468
F090W 28.80000000000004 20 100 86.8 3.7219123550867454 0.868 0.037219123550867456
F090W 28.90000000000004 20 100 84.45 3.663116303454148 0.8445 0.03663116303454147
F090W 29.000000000000043 20 100 84.65 2.777257261172764 0.8465000000000001 0.02777257261172763
F090W 29.100000000000044 20 100 81.5 4.019688388027374 0.8150000000000001 0.04019688388027372
F090W 29.200000000000045 20 100 80.55 3.9132030224276435 0.8055 0.03913203022427642
F090W 29.300000000000047 20 100 77.75 4.1023100039393725 0.7775000000000001 0.04102310003939373
F090W 29.40000000000005 20 100 75.0 4.633970674327397 0.75 0.04633970674327397
F090W 29.50000000000005 20 100 69.1 4.423620807961684 0.6910000000000001 0.04423620807961683
F090W 29.60000000000005 20 100 66.55 3.7763112048385885 0.6655 0.03776311204838588
F090W 29.700000000000053 20 100 63.1 3.5673962198603175 0.631 0.03567396219860318
F090W 29.800000000000054 20 100 58.9 4.700503892361462 0.5890000000000001 0.04700503892361462
F090W 29.900000000000055 20 100 53.35 4.107438694804701 0.5335000000000002 0.041074386948047006
F090W 30.000000000000057 20 100 49.1 4.411706913966162 0.49099999999999994 0.04411706913966163
F090W 30.10000000000006 20 100 42.95 3.720144309594794 0.4295 0.03720144309594794
F090W 30.20000000000006 20 100 41.9 4.447352849552311 0.41899999999999993 0.04447352849552309
F090W 30.30000000000006 20 100 36.05 5.452908446537113 0.3605 0.05452908446537113
F090W 30.400000000000063 20 100 30.35 4.2460507967311285 0.3035 0.04246050796731128
F090W 30.500000000000064 20 100 26.6 4.005259699839437 0.26599999999999996 0.04005259699839437
F090W 30.600000000000065 20 100 23.8 4.162489133856529 0.23800000000000004 0.04162489133856529
F090W 30.700000000000067 20 100 18.55 3.347819400272677 0.18550000000000003 0.033478194002726766
F090W 30.800000000000068 20 100 16.75 3.781882015471578 0.1675 0.037818820154715785
F090W 30.90000000000007 20 100 12.75 3.522484171269206 0.1275 0.035224841712692065
F090W 31.00000000000007 20 100 12.2 2.930780388260186 0.12200000000000003 0.02930780388260186
F090W 31.100000000000072 20 100 10.5 2.5026301953618404 0.10500000000000001 0.025026301953618404
F090W 31.200000000000074 20 100 7.7 2.9217874846167637 0.07700000000000001 0.02921787484616764
F090W 31.300000000000075 20 100 7.9 2.95403381657585 0.07900000000000001 0.029540338165758503
F090W 31.400000000000077 20 100 6.25 2.572629210094525 0.06250000000000001 0.02572629210094525
F090W 31.500000000000078 20 100 4.8 1.9358120830939742 0.048 0.01935812083093974
F090W 31.60000000000008 20 100 4.7 2.6177531547010635 0.04700000000000001 0.026177531547010635
F090W 31.70000000000008 20 100 4.6 2.5422741580594415 0.046000000000000006 0.025422741580594415
F090W 31.800000000000082 20 100 3.6 1.353358395757909 0.036000000000000004 0.01353358395757909
F090W 31.900000000000084 20 100 3.35 1.6944180805158293 0.03350000000000001 0.016944180805158294
F090W 32.000000000000085 20 100 2.9 1.5183093090324964 0.029000000000000005 0.015183093090324964
F115W 26.0 20 100 96.2 2.2384204957490614 0.962 0.022384204957490602
F115W 26.1 20 100 97.0 1.9194297398747862 0.9700000000000001 0.01919429739874788
F115W 26.200000000000003 20 100 97.1 1.5861240410775603 0.9709999999999999 0.015861240410775617
F115W 26.300000000000004 20 100 96.8 1.673320053068151 0.9679999999999997 0.016733200530681513
F115W 26.400000000000006 20 100 97.05 1.848897253129978 0.9705 0.018488972531299785
F115W 26.500000000000007 20 100 96.6 1.6670175069329811 0.9659999999999999 0.01667017506932981
F115W 26.60000000000001 20 100 96.45 2.3277502126799554 0.9644999999999999 0.02327750212679955
F115W 26.70000000000001 20 100 96.75 1.4823523268955432 0.9675 0.01482352326895543
F115W 26.80000000000001 20 100 97.45 1.9049796241485242 0.9744999999999997 0.01904979624148526
F115W 26.900000000000013 20 100 96.5 2.6457513110645907 0.9650000000000001 0.026457513110645904
F115W 27.000000000000014 20 100 95.85 2.1095023109728985 0.9585000000000001 0.021095023109728977
F115W 27.100000000000016 20 100 96.6 1.635140425323255 0.966 0.016351404253232553
F115W 27.200000000000017 20 100 95.5 1.7621756887140216 0.9549999999999998 0.01762175688714021
F115W 27.30000000000002 20 100 96.1 1.8890264827766652 0.9610000000000001 0.018890264827766658
F115W 27.40000000000002 20 100 96.3 2.3192557789991715 0.9629999999999999 0.023192557789991717
F115W 27.50000000000002 20 100 96.5 1.7917941611104424 0.9650000000000001 0.017917941611104427
F115W 27.600000000000023 20 100 95.5 1.8496087779795347 0.9550000000000001 0.018496087779795334
F115W 27.700000000000024 20 100 96.15 1.4964871146156007 0.9615 0.01496487114615602
F115W 27.800000000000026 20 100 95.4 1.9841477024816372 0.9540000000000001 0.019841477024816364
F115W 27.900000000000027 20 100 94.95 2.1144863753590246 0.9495000000000001 0.02114486375359024
F115W 28.00000000000003 20 100 95.15 2.433861994963214 0.9515 0.02433861994963212
F115W 28.10000000000003 20 100 94.65 2.680828622881955 0.9465 0.026808286228819526
F115W 28.20000000000003 20 100 94.25 2.613225472174388 0.9424999999999999 0.026132254721743853
F115W 28.300000000000033 20 100 94.15 1.7851728502481647 0.9415000000000001 0.017851728502481626
F115W 28.400000000000034 20 100 93.6 1.930366749991743 0.9359999999999999 0.0193036674999174
F115W 28.500000000000036 20 100 93.2 3.2379330639029256 0.9319999999999998 0.032379330639029244
F115W 28.600000000000037 20 100 93.05 2.4809802816416613 0.9305 0.024809802816416586
F115W 28.70000000000004 20 100 92.85 2.158825216591069 0.9285 0.02158825216591066
F115W 28.80000000000004 20 100 90.8 2.142305693455191 0.908 0.021423056934551887
F115W 28.90000000000004 20 100 89.9 3.2589956476772017 0.899 0.03258995647677202
F115W 29.000000000000043 20 100 89.8 2.76443579472519 0.898 0.02764435794725193
F115W 29.100000000000044 20 100 87.1 3.007009355349247 0.8710000000000001 0.030070093553492473
F115W 29.200000000000045 20 100 85.1 4.610057654622919 0.851 0.0461005765462292
F115W 29.300000000000047 20 100 84.2 4.431941477857971 0.8419999999999999 0.04431941477857971
F115W 29.40000000000005 20 100 82.65 3.0655127501043986 0.8264999999999999 0.030655127501043964
F115W 29.50000000000005 20 100 79.7 4.268612494895613 0.797 0.04268612494895612
F115W 29.60000000000005 20 100 76.25 4.203695116392119 0.7625 0.0420369511639212
F115W 29.700000000000053 20 100 74.45 3.1867323637065508 0.7445 0.03186732363706553
F115W 29.800000000000054 20 100 68.8 4.0859193386685035 0.6880000000000001 0.040859193386685026
F115W 29.900000000000055 20 100 66.7 3.728976154106478 0.667 0.03728976154106476
F115W 30.000000000000057 20 100 63.25 4.351345829317154 0.6325 0.043513458293171554
F115W 30.10000000000006 20 100 60.1 6.3486426232616635 0.601 0.06348642623261663
F115W 30.20000000000006 20 100 54.95 5.529585498884495 0.5494999999999999 0.055295854988844935
F115W 30.30000000000006 20 100 50.35 6.360031446463138 0.5035 0.06360031446463138
F115W 30.400000000000063 20 100 48.05 4.86096156829295 0.48049999999999987 0.048609615682929506
F115W 30.500000000000064 20 100 42.6 4.500292388161837 0.42600000000000005 0.045002923881618376
