#2023.12.04
#L. Strolger
#updated data table of SNIa rate models vs z
#using best fits to observed rate data
#and respective parametric fits
#   EXP : double degenerate with DTD \propto exp(-t) [best]
#   SFR : directly follows the star formation rate
#   DD  : double degenerate with t^-1
#   z    EXP   SFR    DD
 0.050 0.176 0.176 0.355
 0.100 0.206 0.206 0.377
 0.150 0.238 0.239 0.398
 0.200 0.273 0.274 0.419
 0.250 0.310 0.314 0.439
 0.300 0.348 0.357 0.459
 0.350 0.388 0.403 0.477
 0.400 0.428 0.453 0.493
 0.450 0.469 0.507 0.508
 0.500 0.509 0.564 0.521
 0.550 0.547 0.624 0.531
 0.600 0.584 0.687 0.538
 0.650 0.619 0.753 0.542
 0.700 0.650 0.821 0.543
 0.750 0.679 0.891 0.541
 0.800 0.703 0.963 0.536
 0.850 0.724 1.034 0.528
 0.900 0.740 1.106 0.516
 0.950 0.752 1.176 0.502
 1.000 0.760 1.244 0.485
 1.050 0.764 1.310 0.467
 1.100 0.763 1.371 0.446
 1.150 0.759 1.429 0.424
 1.200 0.751 1.480 0.401
 1.250 0.739 1.526 0.378
 1.300 0.725 1.566 0.355
 1.350 0.709 1.598 0.331
 1.400 0.690 1.624 0.308
 1.450 0.669 1.642 0.286
 1.500 0.648 1.654 0.265
 1.550 0.625 1.658 0.245
 1.600 0.601 1.657 0.225
 1.650 0.577 1.649 0.207
 1.700 0.553 1.635 0.190
 1.750 0.529 1.617 0.175
 1.800 0.505 1.594 0.160
 1.850 0.482 1.568 0.146
 1.900 0.459 1.538 0.134
 1.950 0.437 1.506 0.122
 2.000 0.416 1.471 0.111
 2.050 0.395 1.435 0.102
 2.100 0.375 1.397 0.093
 2.150 0.356 1.359 0.084
 2.200 0.338 1.320 0.077
 2.250 0.321 1.281 0.070
 2.300 0.304 1.242 0.064
 2.350 0.288 1.204 0.058
 2.400 0.274 1.165 0.052
 2.450 0.259 1.128 0.048
 2.500 0.246 1.091 0.043
 2.550 0.233 1.055 0.039
 2.600 0.221 1.019 0.036
 2.650 0.210 0.985 0.032
 2.700 0.199 0.952 0.029
 2.750 0.189 0.920 0.026
 2.800 0.180 0.888 0.024
 2.850 0.171 0.858 0.022
 2.900 0.162 0.829 0.019
 2.950 0.154 0.800 0.018
 3.000 0.146 0.773 0.016
 3.050 0.139 0.747 0.014
 3.100 0.132 0.722 0.013
 3.150 0.126 0.697 0.011
 3.200 0.120 0.674 0.010
 3.250 0.114 0.651 0.009
 3.300 0.109 0.630 0.008
 3.350 0.103 0.609 0.007
 3.400 0.099 0.589 0.007
 3.450 0.094 0.569 0.006
 3.500 0.090 0.551 0.005
 3.550 0.085 0.533 0.005
 3.600 0.082 0.516 0.004
 3.650 0.078 0.499 0.004
 3.700 0.074 0.483 0.003
 3.750 0.071 0.468 0.003
 3.800 0.068 0.453 0.002
 3.850 0.065 0.439 0.002
 3.900 0.062 0.425 0.002
 3.950 0.059 0.412 0.002
 4.000 0.057 0.399 0.001
 4.050 0.054 0.387 0.001
 4.100 0.052 0.375 0.001
 4.150 0.050 0.364 0.001
 4.200 0.047 0.353 0.001
 4.250 0.046 0.343 0.001
 4.300 0.044 0.332 0.000
 4.350 0.042 0.323 0.000
 4.400 0.040 0.313 0.000
 4.450 0.038 0.304 0.000
 4.500 0.037 0.295 0.000
 4.550 0.035 0.287 0.000
 4.600 0.034 0.279 0.000
 4.650 0.033 0.271 0.000
 4.700 0.031 0.263 0.000
 4.750 0.030 0.256 0.000
 4.800 0.029 0.249 0.000
 4.850 0.028 0.242 0.000
 4.900 0.027 0.235 0.000
 4.950 0.026 0.229 0.000
 5.000 0.025 0.222 0.000
 5.050 0.024 0.216 0.000
 5.100 0.023 0.211 0.000
 5.150 0.022 0.205 0.000
 5.200 0.021 0.199 0.000
 5.250 0.020 0.194 0.000
 5.300 0.019 0.189 0.000
 5.350 0.019 0.184 0.000
 5.400 0.018 0.179 0.000
 5.450 0.017 0.175 0.000
 5.500 0.017 0.170 0.000
 5.550 0.016 0.166 0.000
 5.600 0.016 0.161 0.000
 5.650 0.015 0.157 0.000
 5.700 0.014 0.153 0.000
 5.750 0.014 0.149 0.000
 5.800 0.013 0.146 0.000
 5.850 0.013 0.142 0.000
 5.900 0.012 0.139 0.000
 5.950 0.012 0.135 0.000
 6.000 0.012 0.132 0.000
 6.050 0.011 0.128 0.000
 6.100 0.011 0.125 0.000
 6.150 0.010 0.122 0.000
 6.200 0.010 0.119 0.000
 6.250 0.010 0.116 0.000
 6.300 0.009 0.114 0.000
 6.350 0.009 0.111 0.000
 6.400 0.009 0.108 0.000
 6.450 0.008 0.106 0.000
 6.500 0.008 0.103 0.000
 6.550 0.008 0.101 0.000
 6.600 0.008 0.098 0.000
 6.650 0.007 0.096 0.000
 6.700 0.007 0.094 0.000
 6.750 0.007 0.092 0.000
 6.800 0.007 0.089 0.000
 6.850 0.006 0.087 0.000
 6.900 0.006 0.085 0.000
 6.950 0.006 0.083 0.000
 7.000 0.006 0.082 0.000
 7.050 0.006 0.080 0.000
 7.100 0.005 0.078 0.000
 7.150 0.005 0.076 0.000
 7.200 0.005 0.074 0.000
 7.250 0.005 0.073 0.000
 7.300 0.005 0.071 0.000
 7.350 0.005 0.070 0.000
 7.400 0.004 0.068 0.000
 7.450 0.004 0.066 0.000
 7.500 0.004 0.065 0.000
 7.550 0.004 0.063 0.000
 7.600 0.004 0.062 0.000
 7.650 0.004 0.061 0.000
 7.700 0.004 0.059 0.000
 7.750 0.004 0.058 0.000
 7.800 0.003 0.057 0.000
 7.850 0.003 0.056 0.000
 7.900 0.003 0.054 0.000
 7.950 0.003 0.053 0.000
 8.000 0.003 0.052 0.000
